region,year,avg,clim,deviation,perc_deviation,type_deviation,sign_deviation
UK & Ireland,1990,0.33124716333030824,0.29105319439058164,0.0401939689397266,13.809836041788262,Lp,1
CEE,1990,0.20041183523592085,0.1960479244706744,0.004363910765246448,2.2259408137214014,Sp,1
CWE,1990,0.23408813307240703,0.21849614477234347,0.015591988300063558,7.136047327658452,Mp,1
Iberia,1990,0.2445020747716895,0.25484777276423176,-0.010345697992542258,-4.0595599013193695,Sm,-1
Italy,1990,0.1518807899543379,0.16917084961065335,-0.017290059656315443,-10.220472200800854,Lm,-1
Northern,1990,0.23876379566210046,0.21125632086715215,0.027507474794948306,13.020900241960708,Lp,1
SEE,1990,0.16432507026889903,0.1767919715899571,-0.012466901321058071,-7.051734990530685,Mm,-1
UK & Ireland,1991,0.28135830440650683,0.29105319439058164,-0.009694889984074806,-3.3309684177747436,Sm,-1
CEE,1991,0.18605102245053273,0.1960479244706744,-0.009996902020141668,-5.09921339240551,Mm,-1
CWE,1991,0.2033330663731246,0.21849614477234347,-0.015163078399218877,-6.9397464266555655,Mm,-1
Iberia,1991,0.2549434326484018,0.25484777276423176,9.565988417004068e-5,0.0375360879683021,Sp,1
Italy,1991,0.1718224703196347,0.16917084961065335,0.002651620708981367,1.5674217603588747,Sp,1
Northern,1991,0.2129264924983692,0.21125632086715215,0.001670171631217049,0.7905901344686065,Sp,1
SEE,1991,0.17673470119228818,0.1767919715899571,-5.727039766892372e-5,-0.03239422987020811,Sm,-1
UK & Ireland,1992,0.31191838900882285,0.29105319439058164,0.020865194618241212,7.168859514471078,Mp,1
CEE,1992,0.20829186076958106,0.1960479244706744,0.01224393629890666,6.245379201011717,Mp,1
CWE,1992,0.22424782998308612,0.21849614477234347,0.005751685210742652,2.632396657037347,Sp,1
Iberia,1992,0.2604796516393443,0.25484777276423176,0.005631878875112517,2.2098991935561303,Sp,1
Italy,1992,0.16225024817850636,0.16917084961065335,-0.006920601432146983,-4.090894765897756,Sm,-1
Northern,1992,0.22915378903200626,0.21125632086715215,0.017897468164854102,8.471920788637073,Mp,1
SEE,1992,0.1906429619636713,0.1767919715899571,0.013850990373714206,7.834626340295324,Mp,1
UK & Ireland,1993,0.2951842740556507,0.29105319439058164,0.004131079665069037,1.419355548980952,Sp,1
CEE,1993,0.21910512690258752,0.1960479244706744,0.023057202431913115,11.761003078286656,Lp,1
CWE,1993,0.2297905636007828,0.21849614477234347,0.011294418828439318,5.169161607042198,Mp,1
Iberia,1993,0.2507190924657534,0.25484777276423176,-0.004128680298478349,-1.6200574380918487,Sm,-1
Italy,1993,0.1630046894977169,0.16917084961065335,-0.006166160112936442,-3.6449306290816987,Sm,-1
Northern,1993,0.23191949184605348,0.21125632086715215,0.02066317097890133,9.781090049322263,Mp,1
SEE,1993,0.18457964210426178,0.1767919715899571,0.007787670514304679,4.404991043579192,Sp,1
UK & Ireland,1994,0.32825714423481733,0.29105319439058164,0.037203949844235695,12.782525861684753,Lp,1
CEE,1994,0.2064815213089802,0.1960479244706744,0.010433596838305803,5.32196240611897,Mp,1
CWE,1994,0.23465340525114156,0.21849614477234347,0.01615726047879809,7.394757694984842,Mp,1
Iberia,1994,0.26249471347031966,0.25484777276423176,0.007646940706087901,3.000591538683896,Sp,1
Italy,1994,0.15908532648401827,0.16917084961065335,-0.010085523126635076,-5.96173817761565,Mm,-1
Northern,1994,0.2202185079908676,0.21125632086715215,0.008962187123715437,4.242328507345008,Sp,1
SEE,1994,0.17550543545154743,0.1767919715899571,-0.0012865361384096774,-0.7277118563922168,Sm,-1
UK & Ireland,1995,0.30018753701364154,0.29105319439058164,0.009134342623059899,3.1383756643474525,Sp,1
CEE,1995,0.20796331506849317,0.1960479244706744,0.011915390597818765,6.077794819807498,Mp,1
CWE,1995,0.2355072731572081,0.21849614477234347,0.017011128384864627,7.785550817195856,Mp,1
Iberia,1995,0.275543301369863,0.25484777276423176,0.02069552860563123,8.120741406195203,Mp,1
Italy,1995,0.18439734246575343,0.16917084961065335,0.015226492855100082,9.000659918741231,Mp,1
Northern,1995,0.23306212328767123,0.21125632086715215,0.021805802420519077,10.321964488926032,Lp,1
SEE,1995,0.17540233739852867,0.1767919715899571,-0.0013896341914284294,-0.7860278829015386,Sm,-1
UK & Ireland,1996,0.290232576920025,0.29105319439058164,-8.206174705566172e-4,-0.28194759115248935,Sm,-1
CEE,1996,0.18188343901791135,0.1960479244706744,-0.014164485452763054,-7.225011685794119,Mm,-1
CWE,1996,0.20375416081186573,0.21849614477234347,-0.01474198396047774,-6.747022459292258,Mm,-1
Iberia,1996,0.2827262488615665,0.25484777276423176,0.027878476097334737,10.939266133248122,Lp,1
Italy,1996,0.19072023907103824,0.16917084961065335,0.0215493894603849,12.738240370596241,Lp,1
Northern,1996,0.192018597937809,0.21125632086715215,-0.019237722929343143,-9.106341931156097,Mm,-1
SEE,1996,0.1687225802089658,0.1767919715899571,-0.008069391380991303,-4.564342661275969,Sm,-1
UK & Ireland,1997,0.27348884151598174,0.29105319439058164,-0.017564352874599898,-6.0347569492844135,Mm,-1
CEE,1997,0.19615111434550989,0.1960479244706744,1.0318987483548536e-4,0.05263502539702781,Sp,1
CWE,1997,0.20974743509458577,0.21849614477234347,-0.008748709677757704,-4.004056770371487,Sm,-1
Iberia,1997,0.24200007420091324,0.25484777276423176,-0.012847698563318521,-5.041322678226566,Mm,-1
Italy,1997,0.17683163698630136,0.16917084961065335,0.007660787375648015,4.528432287997202,Sp,1
Northern,1997,0.21623800179386823,0.21125632086715215,0.004981680926716081,2.3581215966781865,Sp,1
SEE,1997,0.1935853341133942,0.1767919715899571,0.016793362523437105,9.498939557270639,Mp,1
UK & Ireland,1998,0.3151163003684361,0.29105319439058164,0.024063105977854438,8.267597278304638,Mp,1
CEE,1998,0.2212843318112633,0.1960479244706744,0.025236407340588907,12.872570525154355,Lp,1
CWE,1998,0.24602990182648402,0.21849614477234347,0.027533757054140545,12.601484151049275,Lp,1
Iberia,1998,0.25399390125570775,0.25484777276423176,-8.538715085240067e-4,-0.3350515875663359,Sm,-1
Italy,1998,0.1781567203196347,0.16917084961065335,0.008985870708981353,5.3117134126017165,Mp,1
Northern,1998,0.2206112689171559,0.21125632086715215,0.009354948050003753,4.428245276450962,Sp,1
SEE,1998,0.19450233499492645,0.1767919715899571,0.017710363404969343,10.017628767694225,Lp,1
UK & Ireland,1999,0.3119160067381849,0.29105319439058164,0.020862812347603288,7.168041014387988,Mp,1
CEE,1999,0.200077575152207,0.1960479244706744,0.004029650681532604,2.055441643879976,Sp,1
CWE,1999,0.2391101640574038,0.21849614477234347,0.02061401928506032,9.434500231818085,Mp,1
Iberia,1999,0.2715348139269406,0.25484777276423176,0.01668704116270886,6.547846575903413,Mp,1
Italy,1999,0.1819180091324201,0.16917084961065335,0.012747159521766749,7.535080394231236,Mp,1
Northern,1999,0.20368105577299414,0.21125632086715215,-0.007575265094158012,-3.5858170127471323,Sm,-1
SEE,1999,0.16822536686326736,0.1767919715899571,-0.008566604726689742,-4.8455847002819326,Sm,-1
UK & Ireland,2000,0.2969937361758311,0.29105319439058164,0.005940541785249442,2.041050192796536,Sp,1
CEE,2000,0.1953990862173649,0.1960479244706744,-6.488382533094972e-4,-0.3309590015101399,Sm,-1
CWE,2000,0.23888425432604737,0.21849614477234347,0.020388109553703904,9.331107226146612,Mp,1
Iberia,2000,0.26853751650728597,0.25484777276423176,0.013689743743054206,5.371733719532659,Mp,1
Italy,2000,0.17190325933515482,0.16917084961065335,0.002732409724501478,1.6151776330201792,Sp,1
Northern,2000,0.21787253187613845,0.21125632086715215,0.006616211008986295,3.131840496809029,Sp,1
SEE,2000,0.1762085531079235,0.1767919715899571,-5.834184820336097e-4,-0.3300028144868268,Sm,-1
UK & Ireland,2001,0.2588042090849315,0.29105319439058164,-0.032248985305650124,-11.080100107876943,Lm,-1
CEE,2001,0.19971785026636227,0.1960479244706744,0.0036699257956878673,1.8719534040447487,Sp,1
CWE,2001,0.22278169960861058,0.21849614477234347,0.004285554836267108,1.9613869346446975,Sp,1
Iberia,2001,0.27736001141552513,0.25484777276423176,0.02251223865129337,8.833602274452756,Mp,1
Italy,2001,0.1965064691780822,0.16917084961065335,0.02733561956742886,16.158587386858773,XLp,1
Northern,2001,0.19545018346379647,0.21125632086715215,-0.01580613740335568,-7.4819713504787,Mm,-1
SEE,2001,0.20180650951927956,0.1767919715899571,0.025014537929322456,14.149136809979126,Lp,1
UK & Ireland,2002,0.29381316043127853,0.29105319439058164,0.002759966040696893,0.9482685962185764,Sp,1
CEE,2002,0.20476298154490108,0.1960479244706744,0.008715057074226679,4.445370741749582,Sp,1
CWE,2002,0.2287897230919765,0.21849614477234347,0.01029357831963304,4.711102948913893,Sp,1
Iberia,2002,0.2665744834474886,0.25484777276423176,0.011726710683256814,4.601457001590353,Sp,1
Italy,2002,0.17019380936073059,0.16917084961065335,0.0010229597500772403,0.6046903189477276,Sp,1
Northern,2002,0.2023715145140248,0.21125632086715215,-0.008884806353127356,-4.20569965275242,Sm,-1
SEE,2002,0.16978356494799593,0.1767919715899571,-0.0070084066419611735,-3.9642109191565207,Sm,-1
UK & Ireland,2003,0.27786649765234017,0.29105319439058164,-0.013186696738241466,-4.5306827041882425,Sm,-1
CEE,2003,0.18608183238203957,0.1960479244706744,-0.009966092088634831,-5.083497882236237,Mm,-1
CWE,2003,0.193078684605349,0.21849614477234347,-0.025417460166994477,-11.63291013371314,Lm,-1
Iberia,2003,0.2587351512557078,0.25484777276423176,0.0038873784914760234,1.525372754610011,Sp,1
Italy,2003,0.17950495547945206,0.16917084961065335,0.01033410586879871,6.108680007567882,Mp,1
Northern,2003,0.19783540998043053,0.21125632086715215,-0.013420910886721621,-6.352903823957682,Mm,-1
SEE,2003,0.1848136762049721,0.1767919715899571,0.008021704615015002,4.53736928372526,Sp,1
UK & Ireland,2004,0.2909188308214367,0.29105319439058164,-1.343635691449241e-4,-0.04616460899055229,Sm,-1
CEE,2004,0.20069147427140255,0.1960479244706744,0.004643549800728147,2.368578914194395,Sp,1
