region,id,r,fuel_class,fraction
UK & Ireland,1990,26,Fossil fuels & Other,0.6311598009947295
UK & Ireland,1991,2,Fossil fuels & Other,0.6635131359374323
UK & Ireland,1992,20,Fossil fuels & Other,0.6444026617772552
UK & Ireland,1993,9,Fossil fuels & Other,0.6540241867330064
UK & Ireland,1994,25,Fossil fuels & Other,0.6357188592056932
UK & Ireland,1995,19,Fossil fuels & Other,0.6422097295397641
UK & Ireland,1996,7,Fossil fuels & Other,0.6630827423225611
UK & Ireland,1997,4,Fossil fuels & Other,0.6581803013560396
UK & Ireland,1998,22,Fossil fuels & Other,0.6387199024707885
UK & Ireland,1999,23,Fossil fuels & Other,0.6357501880888691
UK & Ireland,2000,18,Fossil fuels & Other,0.6422796705176368
UK & Ireland,2001,3,Fossil fuels & Other,0.6606844327580303
UK & Ireland,2002,16,Fossil fuels & Other,0.6424472472007594
UK & Ireland,2003,5,Fossil fuels & Other,0.658947767181422
UK & Ireland,2004,12,Fossil fuels & Other,0.6484252599731418
UK & Ireland,2005,13,Fossil fuels & Other,0.648341435216872
UK & Ireland,2006,10,Fossil fuels & Other,0.6496131001849624
UK & Ireland,2007,14,Fossil fuels & Other,0.6449162864453492
UK & Ireland,2008,21,Fossil fuels & Other,0.6401190351263935
UK & Ireland,2009,11,Fossil fuels & Other,0.6495466600568273
UK & Ireland,2010,1,Fossil fuels & Other,0.6815835149285457
UK & Ireland,2011,17,Fossil fuels & Other,0.6442822967771341
UK & Ireland,2012,6,Fossil fuels & Other,0.6590803025245172
UK & Ireland,2013,8,Fossil fuels & Other,0.6568394967836563
UK & Ireland,2014,15,Fossil fuels & Other,0.6417505823434833
UK & Ireland,2015,24,Fossil fuels & Other,0.6374438611366852
Europe,1990,4,Fossil fuels & Other,0.44157797473365723
Europe,1991,1,Fossil fuels & Other,0.4575375335707182
Europe,1992,13,Fossil fuels & Other,0.43724299772231434
Europe,1993,14,Fossil fuels & Other,0.43935545716187474
Europe,1994,16,Fossil fuels & Other,0.43067681347943465
Europe,1995,18,Fossil fuels & Other,0.431927126391529
Europe,1996,2,Fossil fuels & Other,0.4523345452200205
Europe,1997,12,Fossil fuels & Other,0.43705292733219364
Europe,1998,25,Fossil fuels & Other,0.4248992656733383
Europe,1999,24,Fossil fuels & Other,0.42263429938766056
Europe,2000,26,Fossil fuels & Other,0.4176090464747951
Europe,2001,23,Fossil fuels & Other,0.4273774447872117
Europe,2002,21,Fossil fuels & Other,0.4285645463400135
Europe,2003,5,Fossil fuels & Other,0.4463413213598211
Europe,2004,10,Fossil fuels & Other,0.43793799444092474
Europe,2005,8,Fossil fuels & Other,0.44550683444298983
Europe,2006,6,Fossil fuels & Other,0.44525362304982374
Europe,2007,20,Fossil fuels & Other,0.428518379955076
Europe,2008,15,Fossil fuels & Other,0.43183131472670383
Europe,2009,7,Fossil fuels & Other,0.4428106000145552
Europe,2010,3,Fossil fuels & Other,0.4494336917306937
Europe,2011,11,Fossil fuels & Other,0.4392998663530078
Europe,2012,9,Fossil fuels & Other,0.44212668536210886
Europe,2013,17,Fossil fuels & Other,0.4342394898749962
Europe,2014,19,Fossil fuels & Other,0.42493604344916663
Europe,2015,22,Fossil fuels & Other,0.42912585131064884
CEE,1990,4,Fossil fuels & Other,0.6355272506607709
CEE,1991,2,Fossil fuels & Other,0.6414531703359206
CEE,1992,3,Fossil fuels & Other,0.6360445370479803
CEE,1993,7,Fossil fuels & Other,0.6315850788767191
CEE,1994,12,Fossil fuels & Other,0.629732172149044
CEE,1995,18,Fossil fuels & Other,0.6251847173750128
CEE,1996,9,Fossil fuels & Other,0.6356457400303002
CEE,1997,17,Fossil fuels & Other,0.6263056731458383
CEE,1998,26,Fossil fuels & Other,0.6164537593820392
CEE,1999,25,Fossil fuels & Other,0.6160572246615834
CEE,2000,15,Fossil fuels & Other,0.6248450776680704
CEE,2001,6,Fossil fuels & Other,0.6308772558651501
CEE,2002,19,Fossil fuels & Other,0.6235788832326472
CEE,2003,5,Fossil fuels & Other,0.6372831288144639
CEE,2004,22,Fossil fuels & Other,0.6222333484114908
CEE,2005,21,Fossil fuels & Other,0.6232011715129419
CEE,2006,13,Fossil fuels & Other,0.6301206063516329
CEE,2007,14,Fossil fuels & Other,0.6269478793070187
CEE,2008,20,Fossil fuels & Other,0.6220754631709657
CEE,2009,11,Fossil fuels & Other,0.6310446787429427
CEE,2010,24,Fossil fuels & Other,0.6212124755549772
CEE,2011,8,Fossil fuels & Other,0.6312074228410945
CEE,2012,10,Fossil fuels & Other,0.6313884770208852
CEE,2013,16,Fossil fuels & Other,0.6275497900754589
CEE,2014,1,Fossil fuels & Other,0.6412312037546296
CEE,2015,23,Fossil fuels & Other,0.6196369117751532
CWE,1990,16,Fossil fuels & Other,0.3596097459681624
CWE,1991,5,Fossil fuels & Other,0.38378407434232203
CWE,1992,13,Fossil fuels & Other,0.3649048635977914
CWE,1993,11,Fossil fuels & Other,0.36781470699080254
CWE,1994,25,Fossil fuels & Other,0.3533714036473314
CWE,1995,19,Fossil fuels & Other,0.3624582939528227
CWE,1996,2,Fossil fuels & Other,0.3875741201114244
CWE,1997,9,Fossil fuels & Other,0.371334368444623
CWE,1998,23,Fossil fuels & Other,0.35265124215137117
CWE,1999,24,Fossil fuels & Other,0.3526408583908374
CWE,2000,26,Fossil fuels & Other,0.3489642141813547
CWE,2001,17,Fossil fuels & Other,0.36301232544157025
CWE,2002,20,Fossil fuels & Other,0.35893729166247446
CWE,2003,1,Fossil fuels & Other,0.3817615700196104
CWE,2004,10,Fossil fuels & Other,0.37026203649958794
CWE,2005,4,Fossil fuels & Other,0.37841418460874254
CWE,2006,7,Fossil fuels & Other,0.37366042786423215
CWE,2007,22,Fossil fuels & Other,0.3512798800101321
CWE,2008,21,Fossil fuels & Other,0.3595357769822097
CWE,2009,8,Fossil fuels & Other,0.37335100752672223
CWE,2010,3,Fossil fuels & Other,0.3860325861268426
CWE,2011,6,Fossil fuels & Other,0.370325833129741
CWE,2012,14,Fossil fuels & Other,0.3618713261030989
CWE,2013,12,Fossil fuels & Other,0.3683434495735044
CWE,2014,15,Fossil fuels & Other,0.35783019312143893
CWE,2015,18,Fossil fuels & Other,0.3587492913203438
Iberia,1990,6,Fossil fuels & Other,0.4137383240121507
Iberia,1991,13,Fossil fuels & Other,0.3932030208433008
Iberia,1992,3,Fossil fuels & Other,0.42188881337602435
Iberia,1993,10,Fossil fuels & Other,0.40912838297458315
Iberia,1994,14,Fossil fuels & Other,0.38403094832391477
Iberia,1995,17,Fossil fuels & Other,0.3793547306859034
Iberia,1996,26,Fossil fuels & Other,0.31165366138437156
Iberia,1997,20,Fossil fuels & Other,0.3502327550779758
Iberia,1998,16,Fossil fuels & Other,0.3803889891441191
Iberia,1999,15,Fossil fuels & Other,0.38272318091836977
Iberia,2000,19,Fossil fuels & Other,0.36006226618630943
Iberia,2001,22,Fossil fuels & Other,0.33961399471376186
Iberia,2002,18,Fossil fuels & Other,0.3681364469635186
Iberia,2003,21,Fossil fuels & Other,0.3488628874986209
Iberia,2004,9,Fossil fuels & Other,0.41080629150324033
Iberia,2005,2,Fossil fuels & Other,0.4561772782185557
Iberia,2006,12,Fossil fuels & Other,0.39436289961226567
Iberia,2007,5,Fossil fuels & Other,0.4140706095496857
Iberia,2008,8,Fossil fuels & Other,0.41132023084448155
Iberia,2009,11,Fossil fuels & Other,0.4022497476795966
Iberia,2010,25,Fossil fuels & Other,0.32632112486366005
Iberia,2011,7,Fossil fuels & Other,0.413908828132056
Iberia,2012,1,Fossil fuels & Other,0.4555316532456137
Iberia,2013,24,Fossil fuels & Other,0.32547386193744077
Iberia,2014,23,Fossil fuels & Other,0.32352709135288366
Iberia,2015,4,Fossil fuels & Other,0.41949379934236286
Italy,1990,5,Fossil fuels & Other,0.6459047875840773
Italy,1991,7,Fossil fuels & Other,0.6391920967438661
Italy,1992,20,Fossil fuels & Other,0.6210139460078603
Italy,1993,15,Fossil fuels & Other,0.6303880546633465
Italy,1994,22,Fossil fuels & Other,0.6142975254408153
Italy,1995,18,Fossil fuels & Other,0.6252765642711252
Italy,1996,10,Fossil fuels & Other,0.6370371330260087
Italy,1997,19,Fossil fuels & Other,0.6248305718772666
Italy,1998,16,Fossil fuels & Other,0.6281237451039167
Italy,1999,21,Fossil fuels & Other,0.6179507095168146
Italy,2000,24,Fossil fuels & Other,0.6066681515225416
Italy,2001,26,Fossil fuels & Other,0.5993322465852587
Italy,2002,23,Fossil fuels & Other,0.6113082888004856
Italy,2003,3,Fossil fuels & Other,0.6504747205185947
Italy,2004,13,Fossil fuels & Other,0.6328498402092315
Italy,2005,1,Fossil fuels & Other,0.6591928363345421
Italy,2006,6,Fossil fuels & Other,0.6454676144098747
Italy,2007,8,Fossil fuels & Other,0.6388553708275272
Italy,2008,17,Fossil fuels & Other,0.6272864866615764
Italy,2009,12,Fossil fuels & Other,0.6340389396634506
Italy,2010,11,Fossil fuels & Other,0.6347399342406085
Italy,2011,9,Fossil fuels & Other,0.637222114181419
Italy,2012,2,Fossil fuels & Other,0.6534839013882876
Italy,2013,14,Fossil fuels & Other,0.6310187455555423
Italy,2014,25,Fossil fuels & Other,0.6022739695632912
Italy,2015,4,Fossil fuels & Other,0.6495113658776346
Northern,1990,4,Fossil fuels & Other,0.16367140923968357
Northern,1991,3,Fossil fuels & Other,0.1909794691191622
Northern,1992,18,Fossil fuels & Other,0.11784650306163189
Northern,1993,23,Fossil fuels & Other,0.1262244756980315
Northern,1994,5,Fossil fuels & Other,0.15727097737156165
Northern,1995,15,Fossil fuels & Other,0.13653218723857008
Northern,1996,1,Fossil fuels & Other,0.21158605970340538
Northern,1997,11,Fossil fuels & Other,0.1486090537391278
