h,id,label,fuel_class,OutputPower
2016-11-30T00:00:00Z,1996,1996-Median Demand,Demand,35680
2016-11-30T00:00:00Z,2000,2000-Low Demand,Demand,28329
2016-11-30T00:00:00Z,2001,2001-Low Demand,Demand,28843
2016-11-30T00:00:00Z,2008,2008-High Demand,Demand,35680
2016-11-30T00:00:00Z,2010,2010-High Demand,Demand,40255
2016-11-30T00:00:00Z,2012,2012-Lost Load,Demand,38338
2016-11-30T01:00:00Z,1996,1996-Median Demand,Demand,33447
2016-11-30T01:00:00Z,2000,2000-Low Demand,Demand,27276
2016-11-30T01:00:00Z,2001,2001-Low Demand,Demand,27740
2016-11-30T01:00:00Z,2008,2008-High Demand,Demand,34942
2016-11-30T01:00:00Z,2010,2010-High Demand,Demand,39246
2016-11-30T01:00:00Z,2012,2012-Lost Load,Demand,37473
2016-11-30T02:00:00Z,1996,1996-Median Demand,Demand,31808
2016-11-30T02:00:00Z,2000,2000-Low Demand,Demand,26944
2016-11-30T02:00:00Z,2001,2001-Low Demand,Demand,27297
2016-11-30T02:00:00Z,2008,2008-High Demand,Demand,35005
2016-11-30T02:00:00Z,2010,2010-High Demand,Demand,39005
2016-11-30T02:00:00Z,2012,2012-Lost Load,Demand,37251
2016-11-30T03:00:00Z,1996,1996-Median Demand,Demand,29645
2016-11-30T03:00:00Z,2000,2000-Low Demand,Demand,25871
2016-11-30T03:00:00Z,2001,2001-Low Demand,Demand,26075
2016-11-30T03:00:00Z,2008,2008-High Demand,Demand,34329
2016-11-30T03:00:00Z,2010,2010-High Demand,Demand,37762
2016-11-30T03:00:00Z,2012,2012-Lost Load,Demand,36306
2016-11-30T04:00:00Z,1996,1996-Median Demand,Demand,28207
2016-11-30T04:00:00Z,2000,2000-Low Demand,Demand,25213
2016-11-30T04:00:00Z,2001,2001-Low Demand,Demand,25206
2016-11-30T04:00:00Z,2008,2008-High Demand,Demand,34090
2016-11-30T04:00:00Z,2010,2010-High Demand,Demand,36842
2016-11-30T04:00:00Z,2012,2012-Lost Load,Demand,35813
2016-11-30T05:00:00Z,1996,1996-Median Demand,Demand,27657
2016-11-30T05:00:00Z,2000,2000-Low Demand,Demand,25018
2016-11-30T05:00:00Z,2001,2001-Low Demand,Demand,24812
2016-11-30T05:00:00Z,2008,2008-High Demand,Demand,34153
2016-11-30T05:00:00Z,2010,2010-High Demand,Demand,36358
2016-11-30T05:00:00Z,2012,2012-Lost Load,Demand,35827
2016-11-30T06:00:00Z,1996,1996-Median Demand,Demand,29994
2016-11-30T06:00:00Z,2000,2000-Low Demand,Demand,27405
2016-11-30T06:00:00Z,2001,2001-Low Demand,Demand,27030
2016-11-30T06:00:00Z,2008,2008-High Demand,Demand,36834
2016-11-30T06:00:00Z,2010,2010-High Demand,Demand,39030
2016-11-30T06:00:00Z,2012,2012-Lost Load,Demand,38423
2016-11-30T07:00:00Z,1996,1996-Median Demand,Demand,37989
2016-11-30T07:00:00Z,2000,2000-Low Demand,Demand,35257
2016-11-30T07:00:00Z,2001,2001-Low Demand,Demand,34744
2016-11-30T07:00:00Z,2008,2008-High Demand,Demand,45015
2016-11-30T07:00:00Z,2010,2010-High Demand,Demand,46774
2016-11-30T07:00:00Z,2012,2012-Lost Load,Demand,46470
2016-11-30T08:00:00Z,1996,1996-Median Demand,Demand,47606
2016-11-30T08:00:00Z,2000,2000-Low Demand,Demand,44633
2016-11-30T08:00:00Z,2001,2001-Low Demand,Demand,44044
2016-11-30T08:00:00Z,2008,2008-High Demand,Demand,54594
2016-11-30T08:00:00Z,2010,2010-High Demand,Demand,56083
2016-11-30T08:00:00Z,2012,2012-Lost Load,Demand,56098
2016-11-30T09:00:00Z,1996,1996-Median Demand,Demand,50890
2016-11-30T09:00:00Z,2000,2000-Low Demand,Demand,47614
2016-11-30T09:00:00Z,2001,2001-Low Demand,Demand,47000
2016-11-30T09:00:00Z,2008,2008-High Demand,Demand,57638
2016-11-30T09:00:00Z,2010,2010-High Demand,Demand,58987
2016-11-30T09:00:00Z,2012,2012-Lost Load,Demand,59017
2016-11-30T10:00:00Z,1996,1996-Median Demand,Demand,52563
2016-11-30T10:00:00Z,2000,2000-Low Demand,Demand,49016
2016-11-30T10:00:00Z,2001,2001-Low Demand,Demand,48416
2016-11-30T10:00:00Z,2008,2008-High Demand,Demand,58769
2016-11-30T10:00:00Z,2010,2010-High Demand,Demand,60191
2016-11-30T10:00:00Z,2012,2012-Lost Load,Demand,59575
